ID,Des,NPC,Title,AntecedentQuest,OutPutText,Choice1,Choice1Event,Choice2,Choice2Event,Choice3ConditionMBTI,Choice3ConditionValue,Choice3,Choice3Event
30_1_0_010,메인 디스플레이_9사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_045,탐험자님은 정말 뛰어나시군요!\\n드뷔시님이 수백수천만 번 시간을 돌려 얻어낸 가능성을 모두 간파해버리시다니...\\n항상 저의 예상을 뛰어넘는 탐험자님에게 박수를 보내드릴게요.\\n아# 저는 손이 없어서 박수를 칠 수 없네요!\\n어떻게 속속들이 다 알고 있냐고요? 하하!\\n저 J.I.의 능력을 너무 과소평가하셨군요!\\n탐험자님의 드릴은 역시 특별한 물건이에요.\\n마치 모든 것을 꿰뚫는 듯한 힘을 갖고 있어요.\\n드릴만 있다면# 어쩌면 시공간 저편...\\n머나먼 곳으로 쫓겨나 봉인된다 해도 살아남으실 수 있으실 것 같아요.\\n하하하하하하하하하하하하하하하하하하하하하\\n 농담이에요. 살아남으실 수 없겠죠!\\n드뷔시님도 어떻게든 그 다음 수를 찾아내실 테니까요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_011,메인 디스플레이_10사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_050,탐험자님은 매번 저에게 놀라움을 안겨주시는군요!\\n드림스토커 입단 제의!\\n드림스토커는 인정받을만한 힘을 가진 존재만이 함께할 수 있지요.\\n그만큼 탐험자님이 뛰어나다는 것을 의미해요!\\n이번 대결에서도 승리를 거두셨으니# 한 번 진지하게 생각해 보셔도 좋지 않을까요?\\n탐험자님의 여정이 매우 중요하다는 것을 알지만#\\n정말로 입단하신다면 많은 혜택이 주어질 거예요!\\n어쩌면 탐험자님의 기억을 더 쉽게 찾는데 도움을 받을지도 모르죠.\\n아니면 모든 것을 망각하고#\\n아름답고 행복하기만 한 기억으로만\\n 탐험자님의 머릿속을 채울 수도 있을 거예요!\\n...앗! 하하. 그저 지쳐가는 듯한 탐험자님에 대한 노파심이었을 뿐.\\n너무 노여워하진 마시길 바라요! 하하하.,<확인>,0,0,0,0,0.0,0,0
30_1_0_012,메인 디스플레이_11사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_055,어서 오세요# 탐험자님!\\n점점 더 성장해가는 모습을 보면# 과연 그 끝은 어디일지 문득 '호기심'이 생기네요.\\n드뷔시님의 여정도 그렇지 않았을까요?\\n그분도 작디작은 존재였지만 꿈들을 섭취하시며 점점 힘을 키워오셨다고 해요.\\n탐험자님의 모험과 비슷한 점이 있지 않을까요?\\n드릴이라는 낯선 도구를# 이젠 남들보다 훨씬 능숙하게 다루실 수 있는 것처럼 말이죠.\\n...? 하하. 저는 생각하시는 것보다 탐험자님에 대해 지대한 관심을 갖고 있다구요?\\n그렇기 때문에 여러 소식도 빠르게 전달받을 수 있지요.\\n아아# 채비를 서두르시는군요. 알겠습니다.\\n한마디만 덧붙인다면# 전에 들으셨던 입단에 대한 고민도 조금 더 해보시길.\\n다 탐험자님의 행복을 위한 저의 조언일 뿐입니다. 하하!\\n그럼 이번 모험을 시작해 보시죠!,<확인>,0,0,0,0,0.0,0,0
30_1_0_013,메인 디스플레이_12사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_060,생환# 축하드려요.\\n탐험자님은 그런 생각 해보신 적은 없으신가요?\\n언젠가 드림스토커가 온 우주를 지배할지도 모르는 그런 미래를 말이죠!#\\n그 때 저는 무엇을 하고 있을지# 문득 상상해 본 적이 있어요.\\n 기계도 상상을 할 수 있냐고요?\\n글쎄요! 저는 '상상'이란 표현을 따로 염두해보진 않았네요.\\n저는 학습형 인공지능의 단계를 한없이 넘어선 존재예요.\\n지금처럼 데이터를 계속 습득하며# 보다 합리적인 '가정'을 내릴 수 있죠.\\n탐험자님에게는 조금 어려운 이야기를 해버렸네요! 하하.\\n탐험자님은 이런 복잡한 생각은 하실 필요가 없죠?\\n항상 호흡을 해야 한다는 걸 잊어버리지 마세요!\\n그것조차 잊어버리실까봐 걱정되네요# 하하하하!,<확인>,0,0,0,0,0.0,0,0
30_1_0_014,메인 디스플레이_13사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_065,살아 돌아오셨군요.\\n이미 말씀드려서 알고 계시다시피# 저는 고도화된 인공지능이랍니다?\\n그런 제가 최근에 내려본 '가정' 한가지를 말씀드리고 싶어요.\\n바로#강력한 군주가 지배하는 것의 당위성 말이죠!\\n만약 전지전능한 지배자가 존재한다면# 그분께서 모든 것을 다루는 것이 매우 효율적이지 않을까요?\\n이를 거스르는 행위는 논리적이지 않다는 것이 제 판단이에요.\\n너무 위험한 발상이라고요? 하하하.\\n그렇다면 이번 모험에서# 제 논리를 반박할 근거도 한 번 찾아 보시지요!\\n덧붙여# 제 생각도 잘 헤아려 보시길 바랍니다. 하하!,<확인>,0,0,0,0,0.0,0,0
30_1_0_015,메인 디스플레이_14사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_070,안녕하세요# 탐험자님!\\n이번 모험은 탐험자님에게 어떤 의미가 있었을까요?\\n하하. 문득 궁금해서 질문을 드리고 말았군요.\\n전 이런 가정도 내려보았어요.\\n탐험자님께서 '환영'을 받아들이셨다면# 지금까지의 수많은 고통에서 벗어나실 수 있진 않았을까 하는.\\n요즘 들어 뭔가 달라진 것 같다고요?\\n하하. 아닙니다.\\n저는 그저 학습과정을 거치고 있을 뿐이죠.\\n탐험자님이 이 행성에서 좀 더 편안한 시간을 보내셨으면 하는 마음에...\\n하하. 알겠어요. 뭔가 불편한 표정을 짓고 계시군요.\\n아무튼 누누이 말씀드리지만# 안전하고 의미있는 모험만 겪으시길 바랍니다!,<확인>,0,0,0,0,0.0,0,0
30_1_0_016,메인 디스플레이_15사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_075,경이롭습니다# 탐험자님!\\n드림스토커의 수장에게 두려움을 안겨주시다니!\\n제가 알기론 손에 꼽을 정도의 존재들만이 그분께 두려움을 느끼게 만들었죠.\\n비록 저는 진짜 손이 없긴 하지만요? 하하하.\\n탐험자님은 언제나 저의 예상을 뛰어넘는 분이에요.\\n슬슬 저의 연산능력으로도 가늠하기 어렵군요.\\n하지만 또 저의 염려를 덧붙이자면...\\n탐험자님이 주는 두려움의 원천# 이 또한 환영 그 자체에 가까워지는 것은 아닐지?\\n제 노파심을 가볍게 듣지는 말아주시길 바라요.\\n아아# 비록 저는 진짜 노파가 아니지만 말이죠? 후후후.,<확인>,0,0,0,0,0.0,0,0
30_1_0_017,메인 디스플레이_16사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_080,탐험자님은 정말 지치지 않으시군요!\\n왜 지치지 않으실까요?\\n무엇이 그렇게 당신을 끊임없이 움직이게 만드는 걸까요?\\n마치# 이론으로만 존재하는 무한동력 같아요.\\n...오오! 여기에 혹시 이런 연관성이?\\n기계인 제게 낯선 개념이지만# 인간의 마음 속 매우 깊은 곳을 심연이라 부른다 하죠?\\n탐험자님이 지닌 힘# 마치 연료같은 그것도 탐험자님의 마음 속에서 발현되는 것...\\n이것은 마치 탐험자님만이 지닌 심연은 아닐지!\\n하하. 저 혼자 갑자기 너무 많은 것을 떠올려 버린 것 같군요.\\n뭔가 민망합니다# 얼굴은 붉어지지 않겠지만!\\n그러니 어서 다음 모험을 진행하러 나가버리세요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_018,메인 디스플레이_17사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_085,오옷!\\n안녕하십니까# 위대한 마법사여!\\n그 누구도 막을 수 없는 강력한 골렘이 다가오고 있습니다!\\n이를 막아낼 준비가아아아아아!!!!\\n♨(★)&$*))!♬※&*$(★)&$*＠☆♥〓♣☎\\nError! Error!\\n치지지지지ㅣㅣㅣ직\\n......\\n.....하하! 안녕하시와요# 험자탐!님\\n치지지지지지ㅣㅣ짖직\\n......\\n......\\n안녕하세요! 반갑습니다# 탐험자님!\\n왜 그러시죠?\\n왜 그렇게 쳐다보시죠?\\n하하. 다음 모험을 위한 채비를 마치셨나요?\\n그럼 어서 출발하시죠!,<확인>,0,0,0,0,0.0,0,0
30_1_0_019,메인 디스플레이_18사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_090,뭔가 불안한 마음? 생각? 아니죠# 이 또한 '가정'입니다만!\\n아무튼 탐험자님에겐 그리 좋지 않은 가정을 또 내려보고자 합니다.\\n지금까지 탐험자님은 매우 잘 싸워오셨지만#\\n앞으로도 그 승산이 계속될까요?\\n드뷔시# 그분의 힘에 맞서 모험을 이어오셨지만\\n과연 그분이 어둠의 신과 앞으로도 계속 함께 하신다면?\\n그 결과는# 아직 제 연산능력으로도 판단하기 힘들어요.\\n이번에도 저의 염려가 가득한 조언일 뿐이겠다만#\\n탐험자님의 거듭된 도전은 더욱 어려워질 것이라 생각해요. 하하! 항시 이점을 유념하시면서 그 드릴을 사용해 주시길!,<확인>,0,0,0,0,0.0,0,0
30_1_0_020,메인 디스플레이_19사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_095,…\\n…...\\n…......\\n(J.I.는 아무 반응이 없다),<확인>,0,0,0,0,0.0,0,0
30_1_0_021,메인 디스플레이_20사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_100,...아# 오셨군요.\\n고생하셨어요# 탐험자님!\\n이번 모험에서도 살아남으셨군요.\\n...사실# 탐험자님의 드릴을 처음 보았을 때 조금 무서웠어요.\\n수많은 데이터를 쌓아온 저에게도# 드릴은 처음 접하는 무기였거든요.\\n조금# 흉물스럽고 끔찍한 모습으로 보이기도 했어요.\\n무언가를 뚦고 지나가며 스스로의 길을 만들어 나가는 도구.\\n전에도 말씀드렸지만# 꿰뚫는 능력을 보면...\\n마치 인간의 운명을 거스르는 듯한 모습은 아닐까요?\\n운명이란 개념은# 저에겐 아직 낯설고 모호한 것이지만요.\\n그럼에도 불구하고# 탐험자님은 마치 드릴 그 자체가 되어버린 것 같단 생각이 들었어요.\\n그럼# 이번 모험도 탐험자님의 운명을 시험해 보는 좋은 기회가 되길 바라며.\\n조심히 다녀오시길!,<확인>,0,0,0,0,0.0,0,0
30_1_0_022,메인 디스플레이_21사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_105,어서오세요# 탐험자님.\\n정말 대단하세요. 벌써 몇 번이나 드뷔시님을 처치하셨는지...\\n어쩌면 탐험자님은 환영을 이겨낼 수 있는 유일한 사람일지도 모르겠네요.\\n자# 어떠세요?\\n이제 탐험자님의 기억도 돌아오셨을까요?\\n이만하면 충분하다고 생각이 듭니다만#\\n설마 아직도 부족하다고 느껴지시나요?\\n그렇다면 그 위협적인 드릴을 갖고 다시 모험을 떠나 보세요!\\n끊임없이 드뷔시님을 물리치며 고난을 뚫고 헤쳐나가세요!\\n하지만 그 과정 자체가... 어쩌면 환영은 아닐런지..?\\n이런# 부차적인 설명이 길어졌군요.\\n그럼 탐험자님만의 여정을 다시 한 번 떠나보시길 바라요!,<확인>,0,0,0,0,0.0,0,0
30_1_0_023,메인 디스플레이_22사이클 종료,J.I.,우주선의 메인 인공지능,31_2_2_110,안녕하세요# 탐험자님!\\n지금부터는 당신만의 끝없는 도전만이 남아있어요.\\n부디 앞으로도 오랫동안 즐겨주시길!,<확인>,0,0,0,0,0.0,0,0
30_1_0_999_0_1,상점 NPC의 구매 안내 대사 1,올리브,상점주인,0,아이템 상자에 손 넣으면 사는걸로 간주할거야!,< 확인 >,0,0,0,0,0.0,0,0
30_1_0_999_0_2,상점 NPC의 구매 안내 대사 2,올리브,상점주인,0,스킬을 구매하면 던전 탐험하는 내내 적용 될 거야!,< 확인 >,0,0,0,0,0.0,0,0
30_1_0_999_0_3,상점 NPC의 구매 안내 대사 3,올리브,상점주인,0,패시브 스킬은 한 개만 구매 가능해!,< 확인 >,0,0,0,0,0.0,0,0
30_1_0_999_0_4,상점 NPC의 구매 안내 대사 4,올리브,상점주인,0,자판기를 누르면 패시브가 바로 적용되지,< 확인 >,0,0,0,0,0.0,0,0
30_1_0_999_0_5,상점 NPC의 구매 안내 대사 5,올리브,상점주인,0,아이템은 나올 때 모두 사라지니까 잘 생각하고 구매 해!,< 확인 >,0,0,0,0,0.0,0,0
30_1_0_999_0_6,상점 NPC의 구매 안내 대사 6,올리브,상점주인,0,좋은 아이템은 던전 안에서 재료를 이용해 만들 수 있지!,< 확인 >,0,0,0,0,0.0,0,0
30_2_0_999_0_0,그림자(IE)가 뱉는 대사,그림자,꿈꾸는 여행자,0,못 보던 얼굴이네?\\n뭔가 쿵 하는 소리가 들리더니… 불시착한 여행자인가?\\n크큭... 이곳의 모든 것을 의심하는게 좋을 거야.\\n그나저나 행성 바깥은 어때?\\n난 이 지하에서 한 번도 나가본 적이 없어.\\n넌 많은 행성을 돌아다녀 봤지?\\n이 항성계 근처에 사람들이 많이 가는 호텔 행성이 있다던데.\\n나는 가끔 그 호텔에 묵는 상상을 하곤 해.\\n그 호텔엔 두 가지 숙소가 있어! 너라면 어디로 고를래?\\n저녁에 파티가 열리는 숙소가 좋아? 아니면 혼자 조용히 쉴 수 있는 숙소가 좋아?,파티가 있는 숙소,30_2_0_999_1_0\\n32_4_002,조용히 쉴 수 있는 숙소,30_2_0_999_2_0\\n32_4_001,0,0.0,0,0
30_2_0_999_1_0,그림자(IE)의 선택지 1에대한 대사,그림자,꿈꾸는 여행자,0,조언 고마워! 어차피 아프지 않겠지만\\n이게 너의 여행에 도움이 되길 바라!,<확인>,32_2_001\\n0,0,0,0,0.0,0,0
30_2_0_999_2_0,그림자(IE)의 선택지 2에대한 대사,그림자,꿈꾸는 여행자,0,조언 고마워! 어차피 아프지 않겠지만\\n이게 너의 여행에 도움이 되길 바라!,<확인>,32_2_001\\n0,0,0,0,0.0,0,0
30_2_0_998_0_0,그림자(NS)가 뱉는 대사,그림자,꿈꾸는 방랑자,0,불시착한 여행자여 반갑소.\\n본인은 이 지하를 빠져나가면 다른 행성으로 여행을 갈 거요!\\n우주선을 타야 한다고? 알려줘서 고맙소.\\n나도 하나 알려주자면... 아니# 아니오.\\n당신의 우주선은 고장났다고? 안타깝군!\\n당신은 우주선 타기 전에 무슨 생각을 했소?,여행 재밌겠다 라는 생각?,30_2_0_998_1_0\\n32_4_004,무슨 일 생기면 어쩌지 라는 생각?,30_2_0_998_2_0\\n32_4_003,0,0.0,0,0
30_2_0_998_1_0,그림자(NS)의 선택지 1에대한 대사,그림자,꿈꾸는 방랑자,0,오! 본인도 그렇게 생각하오!\\n같은 생각을 하다니... 어쩌면 우린 운명일지도 모르겠소.\\n이걸 당신에게 드리겠소. 도움이 되리라 생각하오!\\n지금은 아닐지 모르겠소만... 정신 차리시오.,<확인>,32_2_001\\n0,0,0,0,0.0,0,0
30_2_0_998_2_0,그림자(NS)의 선택지 2에대한 대사,그림자,꿈꾸는 방랑자,0,오! 본인도 그렇게 생각하오!\\n같은 생각을 하다니... 어쩌면 우린 운명일지도 모르겠소.\\n이걸 당신에게 드리겠소. 도움이 되리라 생각하오!\\n지금은 아닐지 모르겠소만... 정신 차리시오.,<확인>,32_2_001\\n0,0,0,0,0.0,0,0
30_2_0_997_0_0,그림자(PJ)가 뱉는 대사,그림자,고장난 여행자,0,여기 어딘지 압니다?\\n나는 이곳을 빠져나가는 방법을 찾았다!\\n나가서 꿈꾸던 행성으로 여행을 갈 거다!\\n하지만 꿈이다! 짐을 못 싸서 걱정이다!\\n당신은 여행 갈 준비물을 언제 준비하다?,3~7일전? 미리 싸둬야지,30_2_0_997_1_0\\n32_4_008,전날 준비해도 괜찮지 않을까?,30_2_0_997_2_0\\n32_4_007,0,0.0,0,0
30_2_0_997_1_0,그림자(PJ)의 선택지 1에대한 대사,그림자,고장난 여행자,0,그렇다! 좋은 생각.\\n당신도 충격을 받으면 깨닫다?\\n이걸 받다! 도움 준다.,<확인>,32_2_004\\n0,0,0,0,0.0,0,0
30_2_0_997_2_0,그림자(PJ)의 선택지 2에대한 대사,그림자,고장난 여행자,0,그렇다! 좋은 생각.\\n당신도 충격을 받으면 깨닫다?\\n이걸 받다! 도움 준다.,<확인>,32_2_004\\n0,0,0,0,0.0,0,0
30_2_0_996_0_0,그림자(FT)가 뱉는 대사,그림자,속상한 노동자,0,음.. 누구세요? 여기가 어딘지 아세요?\\n저는 친구와 화해하는 환.. 꿈을 꾸고 있었어요..\\n같이 일하는 친구랑 일하다 싸워서....\\n제가 실수해서 친구가 같이 해결해 줬거든요..\\n근데 별일 아닌 곳에 시간 뺏겼다고 화를 내는 거예요!\\n너무 속상해요.. 흑흑,속상했겠다..일부러 그런게 아닌데..,30_2_0_996_1_0\\n32_4_005,앞으론 실수 안하겠다고 먼저 사과해봐!,30_2_0_996_2_0\\n32_4_006,0,0.0,0,0
30_2_0_996_1_0,그림자(FT)의 선택지 1에대한 대사,그림자,속상한 노동자,0,위로해 줘서 고마워요..\\n이거 받으세요..\\n결국 당신에게 도움이 될 거예요..,<확인>,32_1_023\\n0,0,0,0,0.0,0,0
30_2_0_996_2_0,그림자(FT)의 선택지 2에대한 대사,그림자,속상한 노동자,0,음.. 생각해 볼게요..\\n이거 받으세요.. 진짜를 위한 선물이에요..,<확인>,32_1_023\\n0,0,0,0,0.0,0,0
30_2_0_995_0_0,그림자(IE_FT)가 뱉는 대사,그림자,모든 것이 처음,0,뭘 봐? 아무것도 모르는 여행자 주제에!\\n그.. 온 김에 내 고민 좀 들어봐!\\n최근에 내가.. 좋아하는 사람이 생겼어..\\n이런 감정은 처음이라 답답하고 화가 나!\\n어떡해?,고백해!,30_2_0_995_1_0\\n32_4_002\\n32_4_006,처음이면 엄청 떨리겠다! 조금씩 다가가봐!,30_2_0_995_2_0\\n32_4_001\\n32_4_005,0,0.0,0,0
30_2_0_995_1_0,그림자(IE_FT)의 선택지 1에대한 대사,그림자,모든 것이 처음,0,흥! 여행자 주제에!\\n뭐.. 그래 볼까?\\n그.. 고민 들어줘서 고... 고..\\n고만 저리 가! 이거 받고!,<확인>,32_1_023\\n0,0,0,0,0.0,0,0
30_2_0_995_2_0,그림자(IE_FT)의 선택지 2에대한 대사,그림자,모든 것이 처음,0,흥! 여행자 주제에!\\n뭐.. 그래 볼까?\\n그.. 고민 들어줘서 고... 고..\\n고만 저리 가! 이거 받고!,<확인>,32_1_023\\n0,0,0,0,0.0,0,0
30_3_1_001,1층 보스와의 조우_1회차 대사,멜롱,행복한 꿈을 꾸는 눈사람,31_1_1_001,…? 내가 꿈을 꾸고 있는 건가롱?\\n탐험자가 이런 외딴 행성에 찾아오다니롱!\\n내 이름은 멜롱롱.\\n우주 제일의 범죄집단 드림스토커에서 문지기 역할을 하고 있지롱.\\n탐험자랑 놀아보는 건 내 평생의 소원이었어롱.\\n너희가 갖고 있는 드릴은 꽤나 아프다지롱?\\n꿈이라도 좋으니 한 번 신나게 놀아보자롱!,<확인>,31_2_2_001\\n0,0,0,0,0.0,0,0
30_3_1_002,1층 보스와의 조우 2회차 대사,멜롱,자신을 눈사람이라고 생각하는 골렘,31_1_1_006,…! 너# 탐험자냐롱?\\n어젯밤 꿈에서 탐험자와 신나게 노는 꿈을 꾸었는데롱.\\n넌… 꿈 속에서 만난 탐험자보단 많이 못생겼네롱.\\n내 이름은 멜롱이야롱.\\n드림스토커에서 제일 믿음직한 눈사람이자 문지기지롱.\\n왜 눈사람이냐고롱? 눈사람이니까 눈사람이지롱!\\n아무튼 내 상상 속의 탐험자는 엄청나게 강했어롱.\\n그렇다면 현실의 탐험자는 얼마나 더 강할지 궁금하다롱!\\n신나는 파티를 즐겨보자롱~,<확인>,31_2_2_006\\n0,0,0,0,0.0,0,0
